Price,Close,High,Low,Open,Volume,Return,MA5,MA10,MA20,Volatility,Momentum,Target
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,,,,
Date,,,,,,,,,,,,
2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000,0.003134358792605374,3274.479931640625,3298.6909912109377,3280.8369995117187,0.0077027504613869785,-41.880126953125,0
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000,-0.01770582037552626,3260.48994140625,3289.5619873046876,3279.220495605469,0.008831611768230283,-69.949951171875,1
2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000,0.007254613892351713,3261.54794921875,3281.4919677734374,3279.9239868164063,0.009172475923667437,5.2900390625,1
2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000,0.014980414164082134,3265.81796875,3279.17197265625,3282.4894897460936,0.010690466110703392,21.35009765625,1
2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000,0.01125059589785371,3278.0759765625,3280.465966796875,3287.364990234375,0.011339630947795215,61.2900390625,1
2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000,0.003325672876785646,3290.5,3282.4899658203126,3292.0014892578124,0.011375477433701986,62.1201171875,0
2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000,-0.005400853672730133,3310.93798828125,3285.71396484375,3294.651989746094,0.011084776354167759,102.18994140625,1
2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000,0.007326397804890528,3331.572021484375,3296.5599853515623,3298.9889892578126,0.00949522505478368,103.170166015625,1
2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000,0.0016884725532351208,3343.60400390625,3304.710986328125,3302.4699951171874,0.009201517686110038,60.159912109375,1
2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000,0.006462646466197652,3352.556005859375,3315.3159912109377,3307.2849975585937,0.00919556038304274,44.760009765625,0
2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000,-0.0016304457368023773,3358.18798828125,3324.343994140625,3311.5174926757813,0.009323716166929336,28.159912109375,1
2020-02-14,3380.159912109375,3380.68994140625,3366.14990234375,3378.080078125,3419700000,0.0018435333204338544,3368.677978515625,3339.8079833984375,3314.6849853515623,0.006021686767329674,52.449951171875,0
2020-02-18,3370.2900390625,3375.010009765625,3355.610107421875,3369.0400390625,3750400000,-0.002919942636890105,3372.31796875,3351.9449951171873,3316.7184814453126,0.0063921596084875135,18.199951171875,1
2020-02-19,3386.14990234375,3393.52001953125,3378.830078125,3380.389892578125,3614200000,0.004705785881164548,3377.99794921875,3360.8009765625,3319.986474609375,0.005063961422309864,28.39990234375,0
